,title,director,duration,rating,genre,type
55,Twin Peaks,-,47,8.8,"['Crime', 'Drama', 'Mystery']",show
56,Achter de Tuinmuur,-,22,8.8,"['Animation', 'Adventure', 'Comedy']",show
57,Kota Factory,-,45,9.2,"['Comedy', 'Drama']",show
58,Succession,-,1,8.8,['Drama'],show
59,Fawlty Towers,-,30,8.7,['Comedy'],show
60,It's Always Sunny in Philadelphia,-,22,8.8,['Comedy'],show
61,Blackadder Goes Forth,-,2:55,8.8,"['Comedy', 'War']",show
62,Narcos,-,49,8.8,"['Biography', 'Crime', 'Drama']",show
63,Better Call Saul,-,46,8.8,"['Crime', 'Drama']",show
64,Ted Lasso,-,30,8.8,"['Comedy', 'Drama', 'Sport']",show
65,Freaks and Geeks,-,44,8.7,"['Comedy', 'Drama']",show
66,Chappelle's Show,-,22,8.7,"['Comedy', 'Music']",show
67,The West Wing,-,44,8.8,['Drama'],show
68,Peaky Blinders,-,1,8.8,"['Crime', 'Drama']",show
69,The Mandalorian,-,40,8.8,"['Action', 'Adventure', 'Fantasy']",show
70,Steins;Gate,-,24,8.8,"['Animation', 'Comedy', 'Drama']",show
71,Dark,-,1,8.8,"['Crime', 'Drama', 'Mystery']",show
72,BoJack Horseman,-,25,8.7,"['Animation', 'Comedy', 'Drama']",show
73,One Punch Man,-,24,8.8,"['Animation', 'Action', 'Comedy']",show
74,Curb Your Enthusiasm,-,28,8.7,['Comedy'],show
75,Dragon Ball Z: Doragon bôru zetto,-,24,8.7,"['Animation', 'Action', 'Adventure']",show
76,Vinland Saga,-,24,8.8,"['Animation', 'Action', 'Adventure']",show
77,Rome,-,52,8.7,"['Action', 'Drama', 'History']",show
78,Dragon Ball Z,-,24,8.7,"['Animation', 'Action', 'Adventure']",show
79,"I, Claudius",-,11:9,8.8,"['Biography', 'Drama', 'History']",show
80,Fleabag,-,27,8.7,"['Comedy', 'Drama']",show
81,Oz,-,55,8.7,"['Crime', 'Drama', 'Thriller']",show
82,Invincible,-,50,8.7,"['Animation', 'Action', 'Adventure']",show
83,Leyla ile Mecnun,-,1:20,9.1,"['Adventure', 'Comedy', 'Drama']",show
84,Arrested Development,-,22,8.7,['Comedy'],show
85,Six Feet Under,-,1,8.7,"['Comedy', 'Drama']",show
86,South Park,-,22,8.7,"['Animation', 'Comedy']",show
87,The Adventures of Sherlock Holmes,-,1,8.7,"['Crime', 'Drama', 'Mystery']",show
88,Stranger Things,-,51,8.7,"['Drama', 'Fantasy', 'Horror']",show
89,The Marvelous Mrs. Maisel,-,57,8.7,"['Comedy', 'Drama']",show
90,The Boys,-,1,8.7,"['Action', 'Crime', 'Drama']",show
91,The Thick of It,-,29,8.7,['Comedy'],show
92,Battlestar Galactica,-,44,8.7,"['Action', 'Adventure', 'Drama']",show
93,Justice League Unlimited,-,23,8.7,"['Animation', 'Action', 'Adventure']",show
94,House of Cards,-,51,8.7,['Drama'],show
95,House M.D.,-,44,8.7,"['Drama', 'Mystery']",show
96,One Piece: Stampede,-,24,8.7,"['Animation', 'Action', 'Adventure']",show
97,Kenpû Denki Berserk,-,23,8.7,"['Animation', 'Action', 'Adventure']",show
98,The Shield,-,47,8.7,"['Crime', 'Drama', 'Thriller']",show
99,The Simpsons,-,22,8.6,"['Animation', 'Comedy']",show
100,Mahabharat,-,45,8.9,"['Adventure', 'Drama', 'History']",show
101,The Crown,-,58,8.6,"['Biography', 'Drama', 'History']",show
102,The Return of Sherlock Holmes,-,1,8.7,"['Crime', 'Drama', 'Mystery']",show
103,The Jinx: The Life and Deaths of Robert Durst,-,4:39,8.6,"['Documentary', 'Crime', 'Mystery']",show
104,Downton Abbey,-,58,8.7,"['Drama', 'Romance']",show
105,Line of Duty,-,1,8.7,"['Crime', 'Drama', 'Mystery']",show
106,The Grand Tour,-,1,8.7,"['Comedy', 'Talk-Show']",show
107,Ramayan,-,30,9.0,"['Adventure', 'Drama', 'Family']",show
108,It's a Sin,-,3:59,8.7,"['Comedy', 'Drama', 'History']",show
109,Star Trek: The Next Generation,-,44,8.6,"['Action', 'Adventure', 'Sci-Fi']",show
110,Deadwood,-,55,8.6,"['Crime', 'Drama', 'History']",show
111,Top Gear,-,1,8.6,"['Adventure', 'Comedy', 'Reality-TV']",show
112,Atlanta,-,30,8.6,"['Comedy', 'Drama', 'Music']",show
113,Dopesick,-,8:12,8.7,['Drama'],show
114,Lonesome Dove,-,6:24,8.7,"['Adventure', 'Drama', 'Western']",show
115,Young Justice,-,23,8.7,"['Animation', 'Action', 'Adventure']",show
116,Haikyuu!!,-,24,8.7,"['Animation', 'Comedy', 'Drama']",show
117,Sarabhai V/S Sarabhai,-,30,8.8,['Comedy'],show
118,Mad Men,-,47,8.6,['Drama'],show
119,Bron/Broen,-,1,8.6,"['Crime', 'Mystery', 'Thriller']",show
120,Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,-,24,8.7,"['Animation', 'Action', 'Drama']",show
